T       ln(1/s)  T_sigma  ln(1/s)_sigma
11.99   -2.684   0.14     0.019   
27.98   -2.852   0.14     0.016
47.67   -3.093   0.14     0.013
74.58   -3.459   0.14     0.009









  
